구분,차수,온도
구간 전체,1차,1
구간 전체,1차,0.8
구간 전체,1차,0.7
구간 전체,1차,0.8
구간 전체,1차,0.9
구간 전체,1차,0.8
구간 전체,1차,0.8
구간 전체,1차,0.8
구간 전체,1차,0.9
구간 전체,1차,0.7
구간 전체,1차,0.8
구간 전체,1차,0.8
구간 전체,1차,0.7
구간 전체,1차,-0.8
구간 전체,1차,0
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1.1
구간 전체,1차,0.8
구간 전체,1차,0.7
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,0.7
구간 전체,1차,1.1
구간 전체,1차,1
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,0.6
구간 전체,1차,0.9
구간 전체,1차,0.6
구간 전체,1차,0.8
구간 전체,1차,0.8
구간 전체,1차,0.9
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,0.9
구간 전체,1차,0.8
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1
구간 전체,1차,0.3
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.2
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.6
구간 전체,1차,0.8
구간 전체,1차,0.9
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1
구간 전체,1차,1
구간 전체,1차,0.4
구간 전체,1차,0.5
구간 전체,1차,1.2
구간 전체,1차,1.1
구간 전체,1차,1
구간 전체,1차,0.9
구간 전체,1차,1.2
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,1.1
구간 전체,1차,0.9
구간 전체,1차,1.1
구간 전체,1차,0.8
구간 전체,1차,0.6
구간 전체,1차,0.7
구간 전체,1차,0.8
구간 전체,1차,0.1
구간 전체,1차,0
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.2
구간 전체,1차,0.1
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.1
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.6
구간 전체,1차,0.8
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.4
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.1
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.4
구간 전체,1차,0.5
구간 전체,1차,0.5
구간 전체,1차,0.5
구간 전체,1차,0.5
구간 전체,1차,0.5
구간 전체,1차,0.6
구간 전체,1차,0.7
구간 전체,1차,1
구간 전체,1차,0.7
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.7
구간 전체,1차,0.6
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.2
구간 전체,1차,0.3
구간 전체,1차,0.1
구간 전체,1차,0.2
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.1
구간 전체,1차,0.3
구간 전체,1차,0.5
구간 전체,1차,0.7
구간 전체,1차,0.5
구간 전체,1차,0.6
구간 전체,1차,0.7
구간 전체,1차,0.7
구간 전체,1차,0.4
구간 전체,1차,0.1
구간 전체,1차,0.3
구간 전체,1차,0
구간 전체,1차,0.3
구간 전체,1차,-0.2
구간 전체,1차,-0.1
구간 전체,1차,0.3
구간 전체,1차,0.6
구간 전체,1차,0.4
구간 전체,1차,0.4
구간 전체,1차,0.5
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.1
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.6
구간 전체,1차,0.5
구간 전체,1차,0
구간 전체,1차,0.5
구간 전체,1차,0.4
구간 전체,1차,0.1
구간 전체,1차,-0.1
구간 전체,1차,-0.3
구간 전체,1차,-0.4
구간 전체,1차,-0.5
